code,name,description,category,url,public-database
MZ-CR,,,MZ,http://www.portaldogoverno.gov.mz/Empresas/Registos/Registo-de-Sociedades,False
MZ-MOJ,,,MZ,http://www.commonwealthofnations.org/sectors-mozambique/civil_society/,False
MZ-NUIT,,,MZ,http://www.at.gov.mz/eng/Internacional-Trade/FAQ-s/NUIT,False
NG-BPP,,,NG,http://federalcontractors.bpp.gov.ng/,True
NG-CAC,,,NG,http://new.cac.gov.ng/home/,False
NL-KVK,,,NL,https://www.kvk.nl/english/,False
NL-OWMS,,,NL,http://standaarden.overheid.nl/owms/4.0/doc/waardelijsten,False
NO-BRC,,,NO,http://www.brreg.no/,False
NP-CRO,,,NP,http://www.cro.gov.np/,False
NP-SWC,,,NP,http://www.swc.org.np/,False
PE-SUNARP,,,PE,https://www.sunarp.gob.pe/dn-personas-juridicas.asp,True
PH-SEC,,,PH,http://www.sec.gov.ph/,False
PK-PCP,,,PK,http://pcp.org.pk/index.php,False
PK-VSWA,,,PK,http://social_welfare.kp.gov.pk/,False
PL-KRS,,,PL,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,True
PL-NIP,,,PL,https://pl.wikipedia.org/wiki/NIP,True
PL-REGON,,,PL,"http://stat.gov.pl/en/metainformations/glossary/terms-used-in-official-statistics/2963,term.html",True
PS-MOI,,,PS,http://www.moi.pna.ps/NGOs/List,False
PT-NIPPC,,,PT,https://www.portaldocidadao.pt/,True
PY-PGN,,,PY,http://www.hacienda.gov.py/web-hacienda/archivo.php?a=keke1117221b211c20db1d141bdedcdde2db1019ke2016131610ke111c1fdedcdde2da1d1113ke0ac&x=6262001&y=keke0ac,True
PY-RUC,,,PY,http://www.hacienda.gov.py/web-hacienda/index.php?c=77,True
RO-CUI,,,RO,http://www.onrc.ro/index.php/ro/,True
RS-APR,,,RS,http://www.apr.gov.rs/eng/Home.aspx,False
RS-PIB,,,RS,http://www.poreskauprava.gov.rs/pib.html,True
RU-INN,,,RU,https://russianpartner.biz/,True
RU-OGRN,,,RU,https://www.egrul.ru/,True
SE-BLV,,,SE,http://www.bolagsverket.se/,False
SE-KK,,,SE,https://www.kammarkollegiet.se/,False
SE-ON,,,SE,http://www.bolagsverket.se/ff/foretagsformer/organisationsnummer-1.7902,True
SG-ACRA,,,SG,http://www.acra.gov.sg/,False
SI-PRS,,,SI,http://www.ajpes.eu/prs/,True
SI-TIN,,,SI,https://www.ajpes.eu/,True
SK-ORSR,,,SK,http://www.orsr.sk/search_subjekt.asp?lan=en,False
SK-ZRSR,,,SK,http://www.orsr.sk/search_subjekt.asp?lan=en,False
SN-NINEA,,,SN,http://creationdentreprise.sn/en/finding-business,True
SS-RRC,,,SS,,False
TR-MERSIS,,,TR,https://mersis.gtb.gov.tr/,True
TR-MOI,,,TR,https://www.dernekler.gov.tr/,False
TZ-BRLA,,,TZ,http://www.brela.go.tz/,False
TZ-TRA,,,TZ,https://www.tra.go.tz/index.php,False
UA-EDR,,,UA,https://usr.minjust.gov.ua/ua/home,False
UG-NGB,,,UG,http://www.mia.go.ug/?page_id=62,False
UG-RSB,,,UG,http://www.ursb.go.ug/,False
US-DOS,,,US,http://www.companieshouse.gov.uk/links/usaLink.shtml,False
US-EIN,,,US,https://apps.irs.gov/app/eos/,False
US-USAGOV,,,US,https://www.usa.gov/,False
UZ-KTUT,,,UZ,https://my.gov.uz/uz/regService/413,False
XE-EXAMPLE,,,-,,False
XI-EORI,,,XI,http://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp,False
XI-GRID,,,-,https://www.grid.ac/,False
XI-IATI,,,-,http://iatistandard.org/codelists/IATIOrganisationIdentifier/,False
XI-PB,,,BR,http://publicbodies.org/,False
XI-PID,,,XI,https://permid.org,False
XI-WIKIDATA,,,XI,https://www.wikidata.org/,True
XM-DAC,,,-,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,False
XM-OCHA,,,-,http://www.unocha.org,False
XR-NUTS,,,HR,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units,False
ZA-CIP,,,ZA,http://www.cipro.gov.za/,False
ZA-NPO,,,ZA,http://www.npo.gov.za/,False
ZA-PBO,,,ZA,http://www.sars.gov.za/home.asp?pid=170,False
ZM-PCR,,,ZM,http://www.pacra.org.zm/,False
ZW-PVO,,,ZW,,False
ZW-ROD,,,ZW,http://www.dcip.gov.zw/,False
